issue_date,target_ts,y_true,y_tso,lstm_p10,lstm_p50,lstm_p90,xgb_p10,xgb_p50,xgb_p90
2025-12-17,2025-12-17 02:45:00+00:00,12029.05,11899.53,11232.3551953125,11770.843049316407,12079.020875244141,11588.415803222657,12085.991227416993,12612.76016357422
2025-12-17,2025-12-17 03:00:00+00:00,12154.71,11988.09,11357.260166015625,11869.668674316406,12197.940006103516,11728.68521484375,12304.734714355469,12768.174411621094
2025-12-17,2025-12-17 03:15:00+00:00,12246.61,12118.92,11513.51423828125,12026.572374267578,12354.850236816406,11835.270219726563,12424.154985351563,12870.708330078125
2025-12-17,2025-12-17 03:30:00+00:00,12341.12,12272.74,11683.272409667969,12205.930162658691,12533.549387207031,11996.817697753906,12556.680002441406,13036.056711425781
2025-12-17,2025-12-17 03:45:00+00:00,12495.19,12475.01,11893.078359375,12431.471959838867,12757.620229492188,12190.356923828125,12692.498754272461,13205.783193359375
2025-12-17,2025-12-17 04:00:00+00:00,12916.06,12777.04,12187.986044921876,12756.010939636231,13085.683676757813,12594.786810913087,13138.78365234375,13526.965048828126
2025-12-17,2025-12-17 04:15:00+00:00,13132.87,12955.01,12358.016164550781,12953.36107421875,13281.14101196289,12801.485051879883,13203.312322387696,13713.486806640625
2025-12-17,2025-12-17 04:30:00+00:00,13386.56,13212.88,12602.857233886718,13228.061167602538,13552.822352294921,12925.639185791015,13379.205057983398,13917.14397705078
2025-12-17,2025-12-17 04:45:00+00:00,13716.95,13568.27,12940.733684082032,13596.688182373047,13918.256572265625,13321.24785949707,13703.697963256836,14288.785380859375
2025-12-17,2025-12-17 05:00:00+00:00,14399.01,14150.84,13502.619418945313,14194.048984375,14522.765994873047,13915.57959350586,14365.701740112305,14898.218723144531
2025-12-17,2025-12-17 05:15:00+00:00,14909.44,14597.94,13930.092465820313,14652.33064025879,14982.922849121094,14304.247586669922,14833.93983215332,15351.647336425782
2025-12-17,2025-12-17 05:30:00+00:00,15294.18,15012.47,14324.456450195312,15072.531317443847,15407.768431396484,14778.5237109375,15247.456663818359,15790.476042480468
2025-12-17,2025-12-17 05:45:00+00:00,15610.13,15404.56,14696.331606445312,15464.691813049316,15807.187502441406,15184.271486816406,15709.045778808593,16249.242556152343
2025-12-17,2025-12-17 06:00:00+00:00,16142.1,15964.85,15233.287133789063,16026.890718078614,16385.75979003906,15805.59496459961,16188.935906982422,16719.359704589842
2025-12-17,2025-12-17 06:15:00+00:00,16411.34,16353.12,15605.703740234376,16410.72494232178,16783.038609619143,16173.888524169923,16621.66904174805,17175.619755859378
2025-12-17,2025-12-17 06:30:00+00:00,16678.74,16559.43,15797.64484375,16608.280593566895,16997.30255859375,16428.71549194336,16795.188239746094,17406.326118164063
2025-12-17,2025-12-17 06:45:00+00:00,16861.24,16760.33,15984.599653320314,16797.03918273926,17204.500715332033,16613.400114135744,16954.632307128908,17589.760419921877
2025-12-17,2025-12-17 07:00:00+00:00,17125.36,16935.75,16134.388122558594,16966.803337097168,17392.161834716797,17015.531829833984,17213.092407226562,17906.813720703125
2025-12-17,2025-12-17 07:15:00+00:00,17229.77,17069.15,16249.410803222658,17086.590986633302,17536.027532958986,17148.931829833986,17368.24069824219,18042.402014160158
2025-12-17,2025-12-17 07:30:00+00:00,17231.38,17086.06,16251.900881347658,17087.574099121095,17562.448458251954,17191.459688720704,17379.441591796876,18074.324282226564
2025-12-17,2025-12-17 07:45:00+00:00,17172.9,17016.27,16170.108317871094,17001.83111717224,17500.38135864258,17068.068095703125,17329.83591796875,17933.346782226563
2025-12-17,2025-12-17 08:00:00+00:00,17105.34,17056.04,16184.374777832032,17031.424384155274,17550.21514038086,17069.162774124146,17320.62923339844,18046.534079589845
2025-12-17,2025-12-17 08:15:00+00:00,17153.0,17068.86,16179.60285888672,17030.64296661377,17573.511458740235,17161.755431518555,17368.312941894532,18070.320021972657
2025-12-17,2025-12-17 08:30:00+00:00,17208.94,17118.35,16215.808496093749,17065.884729003905,17633.380700683592,17161.306321716307,17396.282067871092,17995.938439941405
2025-12-17,2025-12-17 08:45:00+00:00,17199.83,17103.29,16191.308127441407,17037.02709869385,17628.069357910157,16943.530676879884,17298.724158325196,17900.01009277344
2025-12-17,2025-12-17 09:00:00+00:00,17232.43,17098.73,16187.849079589843,17027.84946105957,17649.040913085937,16934.731052856445,17308.247608642578,17933.961079101562
2025-12-17,2025-12-17 09:15:00+00:00,17140.31,17343.76,16430.33666015625,17269.03307128906,17912.117788085936,16979.659932861327,17324.71782661438,17993.458608398436
