issue_date,target_ts,y_true,y_model,y_tso
2025-01-15,2025-01-15 02:00:00+00:00,13358.25,13434.24169921875,12762.75
2025-01-15,2025-01-15 02:15:00+00:00,13275.0,13396.012084960938,12718.25
2025-01-15,2025-01-15 02:30:00+00:00,13242.25,13369.208129882812,12691.0
2025-01-15,2025-01-15 02:45:00+00:00,13221.5,13550.260986328123,12889.0
2025-01-15,2025-01-15 03:00:00+00:00,13342.75,13507.58721923828,12943.25
2025-01-15,2025-01-15 03:15:00+00:00,13330.25,13633.83135986328,13126.25
2025-01-15,2025-01-15 03:30:00+00:00,13439.0,13704.704040527344,13256.75
2025-01-15,2025-01-15 03:45:00+00:00,13554.75,13858.472076416016,13435.0
2025-01-15,2025-01-15 04:00:00+00:00,13878.0,14355.308044433594,13803.0
2025-01-15,2025-01-15 04:15:00+00:00,13947.5,14611.921691894531,14061.75
2025-01-15,2025-01-15 04:30:00+00:00,14219.75,14249.022491455078,13918.0
2025-01-15,2025-01-15 04:45:00+00:00,14520.0,14705.356506347656,14202.75
2025-01-15,2025-01-15 05:00:00+00:00,15276.25,15514.120971679688,14840.25
2025-01-15,2025-01-15 05:15:00+00:00,15611.25,16092.955200195312,15239.0
2025-01-15,2025-01-15 05:30:00+00:00,15917.5,16503.778869628906,15590.75
2025-01-15,2025-01-15 05:45:00+00:00,16244.25,16938.624145507812,15887.75
2025-01-15,2025-01-15 06:00:00+00:00,16748.0,17352.608642578125,16319.5
2025-01-15,2025-01-15 06:15:00+00:00,16914.5,17648.84912109375,16593.0
2025-01-15,2025-01-15 06:30:00+00:00,17081.25,18003.624389648438,16853.75
2025-01-15,2025-01-15 06:45:00+00:00,17371.75,18158.102416992188,16982.75
2025-01-15,2025-01-15 07:00:00+00:00,17666.25,18508.14453125,17257.5
2025-01-15,2025-01-15 07:15:00+00:00,17741.75,18518.58740234375,17315.0
2025-01-15,2025-01-15 07:30:00+00:00,17786.0,18636.80798339844,17519.5
2025-01-15,2025-01-15 07:45:00+00:00,17807.25,18758.54296875,17614.25
2025-01-15,2025-01-15 08:00:00+00:00,17716.25,18690.6015625,17664.25
2025-01-15,2025-01-15 08:15:00+00:00,17734.5,18789.140747070312,17808.75
2025-01-15,2025-01-15 08:30:00+00:00,17814.0,18758.32666015625,17879.25
2025-01-15,2025-01-15 08:45:00+00:00,17855.25,18758.6708984375,18005.5
2025-01-15,2025-01-15 09:00:00+00:00,17902.75,18837.3076171875,18024.0
2025-01-15,2025-01-15 09:15:00+00:00,17858.5,18898.16973876953,18053.5
2025-01-15,2025-01-15 09:30:00+00:00,17872.5,18917.725341796875,18132.75
2025-01-15,2025-01-15 09:45:00+00:00,17888.25,18817.760498046875,18159.75
2025-01-15,2025-01-15 10:00:00+00:00,17893.25,18726.09014892578,18176.75
2025-01-15,2025-01-15 10:15:00+00:00,17905.5,18712.759338378903,18204.75
2025-01-15,2025-01-15 10:30:00+00:00,17886.0,18740.4352722168,18248.0
2025-01-15,2025-01-15 10:45:00+00:00,17896.0,18735.97915649414,18244.25
2025-01-15,2025-01-15 11:00:00+00:00,17738.75,18783.27258300781,18172.75
2025-01-15,2025-01-15 11:15:00+00:00,17705.75,18723.07647705078,18160.75
2025-01-15,2025-01-15 11:30:00+00:00,17714.0,18728.680541992188,18124.25
2025-01-15,2025-01-15 11:45:00+00:00,17695.0,18652.64044189453,18104.75
2025-01-15,2025-01-15 12:00:00+00:00,17679.5,18616.57501220703,18049.25
2025-01-15,2025-01-15 12:15:00+00:00,17579.25,18550.98889160156,17917.0
2025-01-15,2025-01-15 12:30:00+00:00,17511.75,18478.742614746094,17825.25
2025-01-15,2025-01-15 12:45:00+00:00,17354.75,18163.85461425781,17635.25
2025-01-15,2025-01-15 13:00:00+00:00,17432.5,18151.41906738281,17578.75
2025-01-15,2025-01-15 13:15:00+00:00,17359.25,18086.114135742188,17556.5
2025-01-15,2025-01-15 13:30:00+00:00,17316.75,17962.644897460938,17399.0
2025-01-15,2025-01-15 13:45:00+00:00,17253.5,17888.599182128906,17331.25
2025-01-15,2025-01-15 14:00:00+00:00,17285.0,17987.345458984375,17290.5
2025-01-15,2025-01-15 14:15:00+00:00,17234.75,17870.27020263672,17214.25
2025-01-15,2025-01-15 14:30:00+00:00,17247.75,17848.02459716797,17124.5
2025-01-15,2025-01-15 14:45:00+00:00,17199.0,17703.404235839844,16994.75
2025-01-15,2025-01-15 15:00:00+00:00,17225.5,17763.90887451172,17073.5
2025-01-15,2025-01-15 15:15:00+00:00,17225.25,17993.86883544922,17145.75
2025-01-15,2025-01-15 15:30:00+00:00,17297.25,17993.64813232422,17092.75
2025-01-15,2025-01-15 15:45:00+00:00,17430.0,18263.24786376953,17329.5
2025-01-15,2025-01-15 16:00:00+00:00,17644.75,18223.30389404297,17347.0
2025-01-15,2025-01-15 16:15:00+00:00,17786.75,18645.33868408203,17714.75
2025-01-15,2025-01-15 16:30:00+00:00,17847.25,18535.58233642578,17654.0
2025-01-15,2025-01-15 16:45:00+00:00,17846.5,18596.806579589844,17702.25
2025-01-15,2025-01-15 17:00:00+00:00,17753.25,18386.754760742188,17529.5
2025-01-15,2025-01-15 17:15:00+00:00,17677.0,18339.322265625,17492.75
2025-01-15,2025-01-15 17:30:00+00:00,17651.75,18327.04992675781,17502.75
2025-01-15,2025-01-15 17:45:00+00:00,17571.0,18180.149169921875,17346.75
2025-01-15,2025-01-15 18:00:00+00:00,17442.5,17997.8837890625,17193.5
2025-01-15,2025-01-15 18:15:00+00:00,17269.5,17928.603149414062,17121.5
2025-01-15,2025-01-15 18:30:00+00:00,17113.25,17691.913146972656,16968.75
2025-01-15,2025-01-15 18:45:00+00:00,17032.0,17583.540649414062,16855.25
2025-01-15,2025-01-15 19:00:00+00:00,16717.0,17398.263061523438,16620.5
2025-01-15,2025-01-15 19:15:00+00:00,16461.5,17075.398193359375,16317.5
2025-01-15,2025-01-15 19:30:00+00:00,16195.75,16779.68963623047,16031.0
2025-01-15,2025-01-15 19:45:00+00:00,15969.0,16505.28448486328,15779.5
2025-01-15,2025-01-15 20:00:00+00:00,15752.25,16329.72900390625,15587.5
2025-01-15,2025-01-15 20:15:00+00:00,15588.0,16183.619995117188,15457.25
2025-01-15,2025-01-15 20:30:00+00:00,15395.0,16021.994384765623,15264.75
2025-01-15,2025-01-15 20:45:00+00:00,15148.0,15723.722412109377,14976.5
2025-01-15,2025-01-15 21:00:00+00:00,14975.0,15482.09210205078,14788.25
2025-01-15,2025-01-15 21:15:00+00:00,14746.5,15301.28057861328,14641.75
2025-01-15,2025-01-15 21:30:00+00:00,14481.5,15123.321838378906,14441.25
2025-01-15,2025-01-15 21:45:00+00:00,14271.5,14974.545104980469,14274.75
2025-01-15,2025-01-15 22:00:00+00:00,13997.25,14652.066589355469,13957.5
2025-01-15,2025-01-15 22:15:00+00:00,13866.5,14480.76922607422,13786.5
2025-01-15,2025-01-15 22:30:00+00:00,13754.0,14376.374938964844,13675.75
2025-01-15,2025-01-15 22:45:00+00:00,13533.75,14222.310729980469,13464.5
2025-01-22,2025-01-21 23:00:00+00:00,13606.0,13883.889465332031,13575.5
2025-01-22,2025-01-21 23:15:00+00:00,13464.75,13733.31640625,13430.25
2025-01-22,2025-01-21 23:30:00+00:00,13262.25,13742.785583496094,13437.5
2025-01-22,2025-01-21 23:45:00+00:00,13076.5,13470.383361816406,13190.25
2025-01-22,2025-01-22 00:00:00+00:00,12939.25,13398.94091796875,13126.75
2025-01-22,2025-01-22 00:15:00+00:00,12896.75,13311.247619628906,13015.0
2025-01-22,2025-01-22 00:30:00+00:00,12864.0,13239.0546875,12913.0
2025-01-22,2025-01-22 00:45:00+00:00,12814.25,13401.927612304688,13058.5
2025-01-22,2025-01-22 01:00:00+00:00,12758.0,13209.817657470703,12848.25
2025-01-22,2025-01-22 01:15:00+00:00,12654.25,13203.524169921877,12849.5
2025-01-22,2025-01-22 01:30:00+00:00,12660.75,13192.274169921877,12838.25
2025-01-22,2025-01-22 01:45:00+00:00,12743.0,13218.274169921877,12864.25
2025-01-22,2025-01-22 02:00:00+00:00,12785.75,13215.58447265625,12810.25
2025-01-22,2025-01-22 02:15:00+00:00,12741.0,13278.6845703125,12801.25
2025-01-22,2025-01-22 02:30:00+00:00,12761.0,13229.16079711914,12755.25
2025-01-22,2025-01-22 02:45:00+00:00,12775.5,13349.68423461914,12957.25
2025-01-22,2025-01-22 03:00:00+00:00,12894.5,13329.809112548828,12967.5
2025-01-22,2025-01-22 03:15:00+00:00,12887.0,13403.984161376951,13119.0
2025-01-22,2025-01-22 03:30:00+00:00,12937.5,13513.876251220703,13245.75
2025-01-22,2025-01-22 03:45:00+00:00,13122.25,13674.388320922852,13453.75
2025-01-22,2025-01-22 04:00:00+00:00,13461.25,14092.08251953125,13828.5
2025-01-22,2025-01-22 04:15:00+00:00,13551.25,14264.646774291992,14085.75
2025-01-22,2025-01-22 04:30:00+00:00,13842.5,14103.27961730957,13938.5
2025-01-22,2025-01-22 04:45:00+00:00,14225.5,14536.747985839844,14213.25
2025-01-22,2025-01-22 05:00:00+00:00,14827.0,15380.215637207031,14850.0
2025-01-22,2025-01-22 05:15:00+00:00,15385.0,15916.073425292969,15333.0
2025-01-22,2025-01-22 05:30:00+00:00,15785.5,16248.64422607422,15648.0
2025-01-22,2025-01-22 05:45:00+00:00,16162.5,16714.243713378906,15966.75
2025-01-22,2025-01-22 06:00:00+00:00,16534.0,17371.79150390625,16479.5
2025-01-22,2025-01-22 06:15:00+00:00,16838.75,17445.242553710938,16720.25
2025-01-22,2025-01-22 06:30:00+00:00,17040.0,17649.15740966797,16978.0
2025-01-22,2025-01-22 06:45:00+00:00,17220.5,17964.31964111328,17117.0
2025-01-22,2025-01-22 07:00:00+00:00,17433.25,18252.19805908203,17369.25
2025-01-22,2025-01-22 07:15:00+00:00,17566.25,18326.033935546875,17450.0
2025-01-22,2025-01-22 07:30:00+00:00,17593.75,18239.24224853516,17596.25
2025-01-22,2025-01-22 07:45:00+00:00,17569.75,18314.56268310547,17707.5
2025-01-22,2025-01-22 08:00:00+00:00,17486.25,18354.91632080078,17759.5
2025-01-22,2025-01-22 08:15:00+00:00,17586.5,18435.02362060547,17832.25
2025-01-22,2025-01-22 08:30:00+00:00,17696.5,18445.953857421875,17905.0
2025-01-22,2025-01-22 08:45:00+00:00,17602.5,18581.022979736328,18082.5
2025-01-22,2025-01-22 09:00:00+00:00,17471.75,18593.48501586914,18146.75
2025-01-22,2025-01-22 09:15:00+00:00,17453.0,18588.527893066406,18166.5
2025-01-22,2025-01-22 09:30:00+00:00,17492.75,18555.442169189453,18184.5
2025-01-22,2025-01-22 09:45:00+00:00,17605.25,18556.253784179688,18246.25
