issue_date,target_ts,is_holiday_or_weekend,y_true,naive,lstm_clip_p50,xgb50_p50,xgb47_p50
2026-03-17,2026-03-17 03:15:00+00:00,False,109.33,16.95,104.15487670898438,127.06236267089844,125.29425048828125
2026-03-17,2026-03-17 03:30:00+00:00,False,109.02,22.02,105.41505432128906,127.06236267089844,125.2552719116211
2026-03-17,2026-03-17 03:45:00+00:00,False,110.95,28.83,106.80699157714844,129.028564453125,127.74718475341797
2026-03-17,2026-03-17 04:00:00+00:00,False,107.87,20.06,110.23646545410156,133.7478790283203,132.37486267089844
2026-03-17,2026-03-17 04:15:00+00:00,False,109.99,30.11,112.89874267578125,135.25637817382812,136.4280548095703
2026-03-17,2026-03-17 04:30:00+00:00,False,123.6,39.52,115.11053466796875,145.3179931640625,142.76132202148438
2026-03-17,2026-03-17 04:45:00+00:00,False,138.2,60.02,117.95633697509766,152.534912109375,150.941162109375
2026-03-17,2026-03-17 05:00:00+00:00,False,131.8,36.73,122.65013885498047,142.33529663085938,144.30433654785156
2026-03-17,2026-03-17 05:15:00+00:00,False,144.0,62.31,127.31685638427734,154.91351318359375,150.09893798828125
2026-03-17,2026-03-17 05:30:00+00:00,False,153.52,81.71,131.54893493652344,160.26101684570312,156.32278442382812
2026-03-17,2026-03-17 05:45:00+00:00,False,162.54,84.01,135.1949005126953,157.7643280029297,158.2131805419922
2026-03-17,2026-03-17 06:00:00+00:00,False,173.97,98.03,138.94143676757812,159.1234130859375,172.19464111328125
2026-03-17,2026-03-17 06:15:00+00:00,False,173.88,96.24,141.67137145996094,159.9772491455078,169.31185913085938
2026-03-17,2026-03-17 06:30:00+00:00,False,174.17,96.63,142.880126953125,160.07382202148438,161.9315185546875
2026-03-17,2026-03-17 06:45:00+00:00,False,149.9,91.37,143.58883666992188,155.31280517578125,155.10977172851562
2026-03-17,2026-03-17 07:00:00+00:00,False,192.66,117.85,142.6171112060547,162.1856231689453,165.92872619628906
2026-03-17,2026-03-17 07:15:00+00:00,False,160.19,99.82,140.68862915039062,151.25100708007812,149.11553955078125
2026-03-17,2026-03-17 07:30:00+00:00,False,140.16,89.39,138.38461303710938,132.8695526123047,130.1266632080078
2026-03-17,2026-03-17 07:45:00+00:00,False,117.04,76.85,135.51641845703125,125.15113830566406,126.52642059326172
2026-03-17,2026-03-17 08:00:00+00:00,False,149.95,99.64,130.73446655273438,135.2742462158203,136.56297302246094
2026-03-17,2026-03-17 08:15:00+00:00,False,127.09,82.83,125.91899108886719,124.00333404541016,125.01822662353516
2026-03-17,2026-03-17 08:30:00+00:00,False,112.07,64.24,121.63497924804688,110.55040740966797,109.28868865966797
2026-03-17,2026-03-17 08:45:00+00:00,False,107.18,45.71,118.05335998535156,109.72034454345703,109.16972351074219
2026-03-17,2026-03-17 09:00:00+00:00,False,130.97,62.47,113.3377685546875,108.08251190185547,109.82846069335938
2026-03-17,2026-03-17 09:15:00+00:00,False,104.59,52.06,109.84149169921875,105.17884063720703,105.42231750488281
2026-03-17,2026-03-17 09:30:00+00:00,False,98.41,35.88,107.02197265625,104.812744140625,104.60368347167969
2026-03-17,2026-03-17 09:45:00+00:00,False,100.59,19.97,104.84993743896484,100.0005111694336,101.52613067626953
2026-03-17,2026-03-17 10:00:00+00:00,False,103.19,22.52,101.36399841308594,100.349365234375,97.58111572265625
2026-03-17,2026-03-17 10:15:00+00:00,False,99.0,15.62,98.61749267578125,96.35820770263672,96.95875549316406
2026-03-17,2026-03-17 10:30:00+00:00,False,97.64,14.36,96.47379302978516,93.3707046508789,93.22539520263672
2026-03-17,2026-03-17 10:45:00+00:00,False,102.77,16.96,94.87812042236328,92.19327545166016,92.912353515625
2026-03-17,2026-03-17 11:00:00+00:00,False,95.36,15.08,93.25897216796875,93.33028411865234,94.9227066040039
2026-03-17,2026-03-17 11:15:00+00:00,False,95.3,11.15,91.85160827636719,92.52568817138672,93.51232147216797
2026-03-17,2026-03-17 11:30:00+00:00,False,95.32,11.86,90.95232391357422,90.39592742919922,90.7165756225586
2026-03-17,2026-03-17 11:45:00+00:00,False,94.93,10.05,90.55988311767578,92.30690002441406,92.36670684814453
2026-03-17,2026-03-17 12:00:00+00:00,False,97.0,10.05,89.9675064086914,93.00730895996094,93.46874237060547
2026-03-17,2026-03-17 12:15:00+00:00,False,97.11,10.87,89.28181457519531,93.00730895996094,93.33470916748047
