issue_date,target_ts,y_true,naive,lstm_p10,lstm_p50,lstm_p90,xgb_p10,xgb_p50,xgb_p90,tfm_p10,tfm_p50,tfm_p90
2026-04-16,2026-04-16 08:30:00+00:00,90.79,94.31,61.44557189941406,86.74853515625,100.70880126953125,66.77913665771484,88.12710571289062,112.19297790527344,70.59017944335938,95.74708557128906,111.99087524414062
2026-04-16,2026-04-16 08:45:00+00:00,68.69,81.06,56.233970642089844,82.33770751953125,93.75911712646484,54.389892578125,81.38172149658203,106.32273864746094,65.35267639160156,92.40535736083984,109.03804016113281
2026-04-16,2026-04-16 09:00:00+00:00,96.73,99.33,48.60697937011719,76.49226379394531,87.18333435058594,48.50600051879883,79.29070281982422,102.31124877929688,55.686119079589844,82.7325668334961,101.95471954345703
2026-04-16,2026-04-16 09:15:00+00:00,85.0,84.92,43.604347229003906,72.335693359375,83.09353637695312,38.57414627075195,73.32439422607422,96.18658447265625,49.640647888183594,76.73982238769531,96.69064331054688
2026-04-16,2026-04-16 09:30:00+00:00,67.98,74.39,39.73225402832031,69.39949035644531,79.7237319946289,34.046546936035156,72.09288024902344,96.55029296875,43.826759338378906,71.72076416015625,89.68156433105469
2026-04-16,2026-04-16 09:45:00+00:00,52.98,57.12,36.65393829345703,67.03680419921875,76.77053833007812,25.030807495117188,66.83480834960938,87.40464782714844,39.04656219482422,68.71334838867188,83.23833465576172
2026-04-16,2026-04-16 10:00:00+00:00,80.98,69.62,33.478538513183594,64.87106323242188,74.7298583984375,20.254467010498047,60.4985466003418,87.30303955078125,36.98297119140625,67.92431640625,79.94094848632812
2026-04-16,2026-04-16 10:15:00+00:00,63.09,60.08,31.41344451904297,62.826107025146484,72.8210678100586,13.672577857971191,54.59339904785156,84.64030456542969,34.82213592529297,66.4612808227539,80.32450866699219
2026-04-16,2026-04-16 10:30:00+00:00,54.09,54.46,29.817428588867188,61.312782287597656,71.32801818847656,11.821602821350098,51.82633972167969,80.93008422851562,32.890625,63.731170654296875,81.02482604980469
2026-04-16,2026-04-16 10:45:00+00:00,43.89,49.11,28.556907653808594,60.04151916503906,70.02587890625,8.111712455749512,51.448272705078125,80.93008422851562,29.367721557617188,59.431739807128906,79.1459732055664
2026-04-16,2026-04-16 11:00:00+00:00,57.21,50.05,27.305130004882812,58.68769836425781,69.21635437011719,8.40893840789795,46.57329559326172,78.17782592773438,25.709686279296875,55.502159118652344,75.96739196777344
2026-04-16,2026-04-16 11:15:00+00:00,50.01,48.1,26.69189453125,58.03813171386719,69.01085662841797,8.310726165771484,47.88896179199219,79.06040954589844,24.77355194091797,55.59172821044922,75.13716125488281
2026-04-16,2026-04-16 11:30:00+00:00,41.94,50.44,26.41710662841797,57.20368957519531,68.44711303710938,4.1292853355407715,43.89228820800781,77.57173156738281,23.77910614013672,55.315589904785156,74.12383270263672
2026-04-16,2026-04-16 11:45:00+00:00,33.91,52.34,26.16728973388672,56.49083709716797,68.02359008789062,4.782099723815918,44.311431884765625,77.90817260742188,23.088294982910156,54.96014404296875,73.60302734375
2026-04-16,2026-04-16 12:00:00+00:00,36.72,48.99,22.6087646484375,54.972923278808594,69.90345764160156,4.817676544189453,44.867462158203125,77.30191040039062,16.83049774169922,47.35498046875,69.49861145019531
2026-04-16,2026-04-16 12:15:00+00:00,50.01,61.05,22.786148071289062,54.52509307861328,71.22401428222656,3.2792134284973145,45.22373962402344,77.45516967773438,16.11383819580078,44.94744873046875,67.35060119628906
2026-04-16,2026-04-16 12:30:00+00:00,60.56,73.01,23.583999633789062,55.31304931640625,72.89690399169922,7.143434524536133,48.893043518066406,78.80166625976562,16.22100067138672,43.50581359863281,65.20341491699219
2026-04-16,2026-04-16 12:45:00+00:00,68.6,85.98,24.752731323242188,56.99055480957031,75.10757446289062,10.678807258605957,55.3443489074707,82.17771911621094,18.143264770507812,45.48206329345703,65.35169219970703
2026-04-16,2026-04-16 13:00:00+00:00,52.79,65.53,28.778411865234375,60.490478515625,77.46434020996094,12.918858528137207,54.036476135253906,81.03292846679688,22.762939453125,49.22772979736328,66.868408203125
2026-04-16,2026-04-16 13:15:00+00:00,64.22,76.49,31.321632385253906,62.658607482910156,80.30149841308594,12.940163612365723,58.10853576660156,84.16789245605469,27.40478515625,53.50092315673828,70.98609924316406
2026-04-16,2026-04-16 13:30:00+00:00,75.89,86.5,33.788726806640625,64.75507354736328,83.0505599975586,17.116125106811523,58.43425369262695,85.63720703125,29.314926147460938,55.27912902832031,74.77030944824219
2026-04-16,2026-04-16 13:45:00+00:00,90.58,97.45,36.240196228027344,67.59080505371094,86.6529541015625,22.3937931060791,65.93663024902344,89.59397888183594,32.58257293701172,57.625465393066406,79.1227798461914
2026-04-16,2026-04-16 14:00:00+00:00,64.99,84.77,43.515419006347656,74.23066711425781,92.36581420898438,24.05801773071289,69.70932006835938,92.27943420410156,47.67888641357422,70.99925231933594,93.07077026367188
2026-04-16,2026-04-16 14:15:00+00:00,86.39,96.5,47.91021728515625,79.18891906738281,97.39381408691406,48.49936294555664,77.3415298461914,97.54074096679688,55.211883544921875,78.19790649414062,100.26559448242188
2026-04-16,2026-04-16 14:30:00+00:00,100.56,104.64,52.52320861816406,84.02436065673828,103.08366394042969,53.66055679321289,82.58351135253906,104.61670684814453,61.21334457397461,83.96189880371094,105.67852020263672
2026-04-16,2026-04-16 14:45:00+00:00,107.09,111.11,57.143028259277344,89.66138458251953,110.32608795166016,67.49681854248047,86.20675659179688,111.74779510498047,69.94189453125,92.68487548828125,114.31309509277344
2026-04-16,2026-04-16 15:00:00+00:00,97.58,109.41,64.59272766113281,96.08336639404297,118.15171813964844,66.32455444335938,89.5071792602539,109.94989013671875,84.65736389160156,105.22004699707031,127.11784362792969
2026-04-16,2026-04-16 15:15:00+00:00,106.3,118.4,70.3423080444336,102.00482940673828,126.17886352539062,86.6825180053711,98.476318359375,118.93540954589844,91.06678009033203,110.5643310546875,133.09149169921875
2026-04-16,2026-04-16 15:30:00+00:00,117.35,130.91,76.09243774414062,108.39400482177734,135.52976989746094,95.21066284179688,108.95685577392578,125.45774841308594,96.10823822021484,115.0349349975586,138.59083557128906
2026-04-16,2026-04-16 15:45:00+00:00,124.99,140.64,81.96800231933594,114.88848876953125,145.78176879882812,103.55448913574219,119.02790832519531,139.22311401367188,101.56499481201172,120.04498291015625,144.823974609375
2026-04-16,2026-04-16 16:00:00+00:00,105.28,127.12,90.83584594726562,123.66513061523438,157.32864379882812,99.46566772460938,116.07122039794922,131.74464416503906,121.09646606445312,139.1591033935547,167.29110717773438
2026-04-16,2026-04-16 16:15:00+00:00,127.12,135.0,97.35075378417969,130.28468322753906,168.3463897705078,108.3458023071289,126.36166381835938,143.2621612548828,128.34512329101562,146.5756378173828,176.3049774169922
2026-04-16,2026-04-16 16:30:00+00:00,137.06,145.86,103.4622802734375,136.16102600097656,179.4339599609375,114.70648193359375,129.4981231689453,161.84072875976562,135.2999725341797,154.65509033203125,186.77154541015625
2026-04-16,2026-04-16 16:45:00+00:00,155.12,159.62,109.19353485107422,141.14393615722656,189.9994354248047,127.04386901855469,147.2434539794922,180.2257080078125,140.8820343017578,161.2591094970703,196.707275390625
2026-04-16,2026-04-16 17:00:00+00:00,135.59,158.13,114.25984954833984,146.20291137695312,199.25201416015625,127.72344970703125,147.18214416503906,178.53439331054688,150.33290100097656,171.3335723876953,210.85165405273438
2026-04-16,2026-04-16 17:15:00+00:00,150.93,164.62,118.06938171386719,149.14952087402344,206.53565979003906,134.31619262695312,155.68125915527344,190.34193420410156,151.8035888671875,172.7413787841797,214.8822784423828
2026-04-16,2026-04-16 17:30:00+00:00,175.26,187.92,121.08177947998047,150.74598693847656,212.15213012695312,136.04107666015625,155.68125915527344,207.01707458496094,152.48944091796875,173.1084442138672,216.64830017089844
2026-04-16,2026-04-16 17:45:00+00:00,205.93,209.65,123.43113708496094,151.44677734375,216.3267059326172,150.1820526123047,168.7273406982422,227.33920288085938,152.41046142578125,174.03628540039062,216.81332397460938
2026-04-16,2026-04-16 18:00:00+00:00,193.59,204.51,121.91734313964844,154.35223388671875,216.7506561279297,142.77659606933594,173.5258026123047,253.0974578857422,155.68228149414062,178.22451782226562,220.03521728515625
2026-04-16,2026-04-16 18:15:00+00:00,196.09,188.23,122.04252624511719,154.70697021484375,216.13827514648438,140.14170837402344,165.88987731933594,242.10513305664062,153.83236694335938,177.11419677734375,218.64923095703125
2026-04-16,2026-04-16 18:30:00+00:00,185.86,178.22,121.82029724121094,153.9779052734375,214.49270629882812,141.6077423095703,175.2159423828125,239.08096313476562,151.5243682861328,174.82630920410156,216.67857360839844
2026-04-16,2026-04-16 18:45:00+00:00,173.73,152.24,121.34033966064453,152.3717803955078,212.0660400390625,138.8933868408203,172.84698486328125,220.57167053222656,148.74188232421875,171.11529541015625,212.13504028320312
2026-04-16,2026-04-16 19:00:00+00:00,174.82,170.1,117.70977783203125,148.11891174316406,205.78651428222656,138.1255645751953,173.82765197753906,185.3175811767578,143.78868103027344,163.5919952392578,200.81900024414062
